Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,HR_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,HR_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,HR_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1,HR_Dual_Chain_1
off,off,off,off,off,on,70,68,38,76,70,68,38,76,56,54,26,62,56,54,26,62
off,off,off,off,on,on,70,68,38,76,70,68,38,76,56,54,26,62,56,54,26,62
off,off,off,on,off,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,off,off,on,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,off,on,off,off,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,off,on,off,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,off,on,on,off,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,off,on,on,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,off,off,off,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,off,off,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,off,on,off,on,66,65,38,65,70,68,38,76,56,54,26,62,56,54,26,62
off,on,off,on,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,on,off,off,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,on,off,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,on,on,off,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,on,on,on,on,on,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
on,off,off,off,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,off,off,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,off,on,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,off,on,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,on,off,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,on,off,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,on,on,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,off,on,on,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,off,off,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,off,off,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,off,on,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,off,on,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,on,off,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,on,off,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,on,on,off,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
on,on,on,on,on,any,50,50,38,50,58,58,38,58,50,50,26,50,50,50,26,50
off,off,any,off,any,off,70,68,38,76,70,68,38,76,56,54,26,62,56,54,26,62
off,on,any,any,any,off,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
off,any,any,on,any,off,66,65,38,66,70,68,38,76,56,54,26,62,56,54,26,62
